feature,importance,raw_value,importance_type
lot_config_CulDSac,0.04839021754404611,0.04839021754404611,coefficient_abs
mszoning_RM,0.04794469524414225,0.04794469524414225,coefficient_abs
exteriorsecond_BrkFace,0.04712335038299217,-0.04712335038299217,coefficient_abs
lot_area,0.04710791221438228,0.04710791221438228,coefficient_abs
exteriorfirst_Stone,0.04601221250276648,0.04601221250276648,coefficient_abs
condition1_Norm,0.044344127018529564,0.044344127018529564,coefficient_abs
overall_cond,0.04317292507123595,0.04317292507123595,coefficient_abs
exteriorfirst_VinylSd,0.042350911351987874,0.042350911351987874,coefficient_abs
exteriorsecond_AsbShng,0.04194901753320102,-0.04194901753320102,coefficient_abs
sale_type_COD,0.04189279603652131,-0.04189279603652131,coefficient_abs
neighborhood_Blueste,0.040650002986847185,0.040650002986847185,coefficient_abs
neighborhood_Gilbert,0.04041283473505779,-0.04041283473505779,coefficient_abs
condition1_PosN,0.04006513481339123,0.04006513481339123,coefficient_abs
exteriorfirst_WdShing,0.04000571627643793,0.04000571627643793,coefficient_abs
roof_style_Flat,0.0398778436204337,-0.0398778436204337,coefficient_abs
sale_type_ConLw,0.038685069905155314,-0.038685069905155314,coefficient_abs
bsmt_fin_sf1,0.038447595774948766,0.038447595774948766,coefficient_abs
sale_condition_Family,0.0382012718955482,-0.0382012718955482,coefficient_abs
neighborhood_BrkSide,0.03819905290422322,0.03819905290422322,coefficient_abs
remodel_negative_flag,0.037320548543146426,-0.037320548543146426,coefficient_abs
sale_type_Con,0.03480828189649469,0.03480828189649469,coefficient_abs
condition2_RRAn,0.0347376950171224,-0.0347376950171224,coefficient_abs
misc_feature_Shed,0.034053723703116275,0.034053723703116275,coefficient_abs
exteriorfirst_CemntBd,0.03400668360237624,-0.03400668360237624,coefficient_abs
condition2_Norm,0.03376608321514387,0.03376608321514387,coefficient_abs
bsmt_fin_type2_GLQ,0.033221557948818,0.033221557948818,coefficient_abs
exteriorsecond_ImStucc,0.03270323728892224,0.03270323728892224,coefficient_abs
condition1_Artery,0.03249836570384996,-0.03249836570384996,coefficient_abs
